"x0","x1","x2","fitness","file"
-5,-5,0,-8.085,"shubert"
-5,-4.5,0,7.676,"shubert"
-5,-4,0,-8.277,"shubert"
-5,-3.5,0,7.504,"shubert"
-5,-3,0,-10.273,"shubert"
-5,-2.5,0,10.174,"shubert"
-5,-2,0,-17.526,"shubert"
-5,-1.5,0,34.127,"shubert"
-5,-1,0,-23.044,"shubert"
-5,-0.5,0,-7.331,"shubert"
-5,0,0,12.676,"shubert"
-5,0.5,0,-4.95,"shubert"
-5,1,0,5.071,"shubert"
-5,1.5,0,-3.364,"shubert"
-5,2,0,2.34,"shubert"
-5,2.5,0,-2.613,"shubert"
-5,3,0,0.642,"shubert"
-5,3.5,0,-2.081,"shubert"
-5,4,0,-0.81,"shubert"
-5,4.5,0,-1.537,"shubert"
-5,5,0,27.453,"shubert"
-4.5,-5,0,7.676,"shubert"
-4.5,-4.5,0,-7.288,"shubert"
-4.5,-4,0,7.859,"shubert"
-4.5,-3.5,0,-7.125,"shubert"
-4.5,-3,0,9.754,"shubert"
-4.5,-2.5,0,-9.659,"shubert"
-4.5,-2,0,16.64,"shubert"
-4.5,-1.5,0,-32.403,"shubert"
-4.5,-1,0,21.879,"shubert"
-4.5,-0.5,0,6.96,"shubert"
-4.5,0,0,-12.036,"shubert"
-4.5,0.5,0,4.7,"shubert"
-4.5,1,0,-4.814,"shubert"
-4.5,1.5,0,3.194,"shubert"
-4.5,2,0,-2.222,"shubert"
-4.5,2.5,0,2.481,"shubert"
-4.5,3,0,-0.609,"shubert"
-4.5,3.5,0,1.976,"shubert"
-4.5,4,0,0.769,"shubert"
-4.5,4.5,0,1.459,"shubert"
-4.5,5,0,-26.065,"shubert"
-4,-5,0,-8.277,"shubert"
-4,-4.5,0,7.859,"shubert"
-4,-4,0,-8.474,"shubert"
-4,-3.5,0,7.683,"shubert"
-4,-3,0,-10.517,"shubert"
-4,-2.5,0,10.416,"shubert"
-4,-2,0,-17.943,"shubert"
-4,-1.5,0,34.939,"shubert"
-4,-1,0,-23.592,"shubert"
-4,-0.5,0,-7.505,"shubert"
-4,0,0,12.978,"shubert"
-4,0.5,0,-5.067,"shubert"
-4,1,0,5.191,"shubert"
-4,1.5,0,-3.444,"shubert"
-4,2,0,2.396,"shubert"
-4,2.5,0,-2.675,"shubert"
-4,3,0,0.657,"shubert"
-4,3.5,0,-2.131,"shubert"
-4,4,0,-0.829,"shubert"
-4,4.5,0,-1.573,"shubert"
-4,5,0,28.106,"shubert"
-3.5,-5,0,7.504,"shubert"
-3.5,-4.5,0,-7.125,"shubert"
-3.5,-4,0,7.683,"shubert"
-3.5,-3.5,0,-6.965,"shubert"
-3.5,-3,0,9.535,"shubert"
-3.5,-2.5,0,-9.443,"shubert"
-3.5,-2,0,16.268,"shubert"
-3.5,-1.5,0,-31.677,"shubert"
-3.5,-1,0,21.389,"shubert"
-3.5,-0.5,0,6.805,"shubert"
-3.5,0,0,-11.766,"shubert"
-3.5,0.5,0,4.594,"shubert"
-3.5,1,0,-4.707,"shubert"
-3.5,1.5,0,3.122,"shubert"
-3.5,2,0,-2.172,"shubert"
