"x0","x1","x2","fitness","file"
0.5,0.5,0,-0.604,"vincent"
0.5,1,0,-0.302,"vincent"
0.5,1.5,0,-0.698,"vincent"
0.5,2,0,0,"vincent"
0.5,2.5,0,-0.172,"vincent"
0.5,3,0,-0.802,"vincent"
0.5,3.5,0,-0.321,"vincent"
0.5,4,0,0.179,"vincent"
0.5,4.5,0,0.007,"vincent"
0.5,5,0,-0.49,"vincent"
0.5,5.5,0,-0.789,"vincent"
0.5,6,0,-0.703,"vincent"
0.5,6.5,0,-0.367,"vincent"
0.5,7,0,-0.016,"vincent"
0.5,7.5,0,0.18,"vincent"
0.5,8,0,0.164,"vincent"
0.5,8.5,0,-0.024,"vincent"
0.5,9,0,-0.292,"vincent"
0.5,9.5,0,-0.551,"vincent"
0.5,10,0,-0.732,"vincent"
0.5,10.5,0,-0.801,"vincent"
1,0.5,0,-0.302,"vincent"
1,1,0,0,"vincent"
1,1.5,0,-0.396,"vincent"
1,2,0,0.302,"vincent"
1,2.5,0,0.129,"vincent"
1,3,0,-0.5,"vincent"
1,3.5,0,-0.019,"vincent"
1,4,0,0.481,"vincent"
1,4.5,0,0.309,"vincent"
1,5,0,-0.188,"vincent"
1,5.5,0,-0.487,"vincent"
1,6,0,-0.401,"vincent"
1,6.5,0,-0.066,"vincent"
1,7,0,0.286,"vincent"
1,7.5,0,0.482,"vincent"
1,8,0,0.465,"vincent"
1,8.5,0,0.278,"vincent"
1,9,0,0.009,"vincent"
1,9.5,0,-0.249,"vincent"
1,10,0,-0.43,"vincent"
1,10.5,0,-0.499,"vincent"
1.5,0.5,0,-0.698,"vincent"
1.5,1,0,-0.396,"vincent"
1.5,1.5,0,-0.791,"vincent"
1.5,2,0,-0.094,"vincent"
1.5,2.5,0,-0.266,"vincent"
1.5,3,0,-0.896,"vincent"
1.5,3.5,0,-0.415,"vincent"
1.5,4,0,0.086,"vincent"
1.5,4.5,0,-0.086,"vincent"
1.5,5,0,-0.584,"vincent"
1.5,5.5,0,-0.882,"vincent"
1.5,6,0,-0.797,"vincent"
1.5,6.5,0,-0.461,"vincent"
1.5,7,0,-0.109,"vincent"
1.5,7.5,0,0.086,"vincent"
1.5,8,0,0.07,"vincent"
1.5,8.5,0,-0.117,"vincent"
1.5,9,0,-0.386,"vincent"
1.5,9.5,0,-0.645,"vincent"
1.5,10,0,-0.826,"vincent"
1.5,10.5,0,-0.895,"vincent"
2,0.5,0,0,"vincent"
2,1,0,0.302,"vincent"
2,1.5,0,-0.094,"vincent"
2,2,0,0.604,"vincent"
2,2.5,0,0.431,"vincent"
2,3,0,-0.198,"vincent"
2,3.5,0,0.283,"vincent"
2,4,0,0.783,"vincent"
2,4.5,0,0.611,"vincent"
2,5,0,0.113,"vincent"
2,5.5,0,-0.185,"vincent"
2,6,0,-0.099,"vincent"
2,6.5,0,0.236,"vincent"
2,7,0,0.588,"vincent"
2,7.5,0,0.784,"vincent"
2,8,0,0.767,"vincent"
2,8.5,0,0.58,"vincent"
2,9,0,0.311,"vincent"
2,9.5,0,0.053,"vincent"
2,10,0,-0.128,"vincent"
2,10.5,0,-0.198,"vincent"
2.5,0.5,0,-0.172,"vincent"
2.5,1,0,0.129,"vincent"
2.5,1.5,0,-0.266,"vincent"
2.5,2,0,0.431,"vincent"
2.5,2.5,0,0.259,"vincent"
2.5,3,0,-0.371,"vincent"
2.5,3.5,0,0.11,"vincent"
2.5,4,0,0.611,"vincent"
2.5,4.5,0,0.439,"vincent"
2.5,5,0,-0.059,"vincent"
2.5,5.5,0,-0.357,"vincent"
2.5,6,0,-0.272,"vincent"
2.5,6.5,0,0.064,"vincent"
2.5,7,0,0.416,"vincent"
2.5,7.5,0,0.611,"vincent"
2.5,8,0,0.595,"vincent"
2.5,8.5,0,0.408,"vincent"
2.5,9,0,0.139,"vincent"
2.5,9.5,0,-0.12,"vincent"
2.5,10,0,-0.3,"vincent"
2.5,10.5,0,-0.37,"vincent"
3,0.5,0,-0.802,"vincent"
3,1,0,-0.5,"vincent"
3,1.5,0,-0.896,"vincent"
3,2,0,-0.198,"vincent"
3,2.5,0,-0.371,"vincent"
3,3,0,-1,"vincent"
3,3.5,0,-0.519,"vincent"
3,4,0,-0.019,"vincent"
3,4.5,0,-0.191,"vincent"
3,5,0,-0.688,"vincent"
3,5.5,0,-0.987,"vincent"
3,6,0,-0.901,"vincent"
3,6.5,0,-0.566,"vincent"
3,7,0,-0.214,"vincent"
3,7.5,0,-0.018,"vincent"
3,8,0,-0.035,"vincent"
3,8.5,0,-0.222,"vincent"
3,9,0,-0.491,"vincent"
3,9.5,0,-0.749,"vincent"
3,10,0,-0.93,"vincent"
3,10.5,0,-0.999,"vincent"
3.5,0.5,0,-0.321,"vincent"
3.5,1,0,-0.019,"vincent"
3.5,1.5,0,-0.415,"vincent"
3.5,2,0,0.283,"vincent"
3.5,2.5,0,0.11,"vincent"
3.5,3,0,-0.519,"vincent"
3.5,3.5,0,-0.039,"vincent"
3.5,4,0,0.462,"vincent"
3.5,4.5,0,0.29,"vincent"
3.5,5,0,-0.208,"vincent"
3.5,5.5,0,-0.506,"vincent"
3.5,6,0,-0.421,"vincent"
3.5,6.5,0,-0.085,"vincent"
3.5,7,0,0.267,"vincent"
3.5,7.5,0,0.462,"vincent"
3.5,8,0,0.446,"vincent"
3.5,8.5,0,0.259,"vincent"
3.5,9,0,-0.01,"vincent"
3.5,9.5,0,-0.269,"vincent"
3.5,10,0,-0.449,"vincent"
3.5,10.5,0,-0.519,"vincent"
4,0.5,0,0.179,"vincent"
4,1,0,0.481,"vincent"
4,1.5,0,0.086,"vincent"
4,2,0,0.783,"vincent"
4,2.5,0,0.611,"vincent"
4,3,0,-0.019,"vincent"
4,3.5,0,0.462,"vincent"
4,4,0,0.963,"vincent"
4,4.5,0,0.791,"vincent"
4,5,0,0.293,"vincent"
4,5.5,0,-0.005,"vincent"
4,6,0,0.08,"vincent"
4,6.5,0,0.416,"vincent"
4,7,0,0.768,"vincent"
4,7.5,0,0.963,"vincent"
4,8,0,0.947,"vincent"
4,8.5,0,0.76,"vincent"
4,9,0,0.491,"vincent"
4,9.5,0,0.232,"vincent"
4,10,0,0.051,"vincent"
4,10.5,0,-0.018,"vincent"
4.5,0.5,0,0.007,"vincent"
4.5,1,0,0.309,"vincent"
4.5,1.5,0,-0.086,"vincent"
4.5,2,0,0.611,"vincent"
4.5,2.5,0,0.439,"vincent"
4.5,3,0,-0.191,"vincent"
4.5,3.5,0,0.29,"vincent"
4.5,4,0,0.791,"vincent"
4.5,4.5,0,0.619,"vincent"
4.5,5,0,0.121,"vincent"
4.5,5.5,0,-0.177,"vincent"
4.5,6,0,-0.092,"vincent"
4.5,6.5,0,0.244,"vincent"
4.5,7,0,0.596,"vincent"
4.5,7.5,0,0.791,"vincent"
4.5,8,0,0.775,"vincent"
4.5,8.5,0,0.588,"vincent"
4.5,9,0,0.319,"vincent"
4.5,9.5,0,0.06,"vincent"
4.5,10,0,-0.12,"vincent"
4.5,10.5,0,-0.19,"vincent"
5,0.5,0,-0.49,"vincent"
5,1,0,-0.188,"vincent"
5,1.5,0,-0.584,"vincent"
5,2,0,0.113,"vincent"
5,2.5,0,-0.059,"vincent"
5,3,0,-0.688,"vincent"
5,3.5,0,-0.208,"vincent"
5,4,0,0.293,"vincent"
5,4.5,0,0.121,"vincent"
5,5,0,-0.377,"vincent"
5,5.5,0,-0.675,"vincent"
5,6,0,-0.59,"vincent"
5,6.5,0,-0.254,"vincent"
5,7,0,0.098,"vincent"
5,7.5,0,0.293,"vincent"
5,8,0,0.277,"vincent"
5,8.5,0,0.09,"vincent"
5,9,0,-0.179,"vincent"
