x0,x1,x2,fitness
-5,-5,-5,-22.988
-5,-5,-4.5,21.826
-5,-5,-4,-23.535
-5,-5,-3.5,21.337
-5,-5,-3,-29.21
-5,-5,-2.5,28.927
-5,-5,-2,-49.834
-5,-5,-1.5,97.037
-5,-5,-1,-65.523
-5,-5,-0.5,-20.845
-5,-5,0,36.044
-5,-5,0.5,-14.074
-5,-5,1,14.418
-5,-5,1.5,-9.565
-5,-5,2,6.653
-5,-5,2.5,-7.43
-5,-5,3,1.824
-5,-5,3.5,-5.918
-5,-5,4,-2.303
-5,-5,4.5,-4.37
-5,-5,5,78.059
-5,-4.5,-5,21.826
-5,-4.5,-4.5,-20.723
-5,-4.5,-4,22.345
-5,-4.5,-3.5,-20.259
-5,-4.5,-3,27.734
-5,-4.5,-2.5,-27.465
-5,-4.5,-2,47.315
-5,-4.5,-1.5,-92.132
-5,-4.5,-1,62.211
-5,-4.5,-0.5,19.791
-5,-4.5,0,-34.222
-5,-4.5,0.5,13.362
-5,-4.5,1,-13.689
-5,-4.5,1.5,9.081
-5,-4.5,2,-6.317
-5,-4.5,2.5,7.054
-5,-4.5,3,-1.732
-5,-4.5,3.5,5.619
-5,-4.5,4,2.187
-5,-4.5,4.5,4.149
-5,-4.5,5,-74.114
-5,-4,-5,-23.535
-5,-4,-4.5,22.345
-5,-4,-4,-24.094
-5,-4,-3.5,21.845
-5,-4,-3,-29.905
-5,-4,-2.5,29.615
-5,-4,-2,-51.019
-5,-4,-1.5,99.344
-5,-4,-1,-67.081
-5,-4,-0.5,-21.34
-5,-4,0,36.901
-5,-4,0.5,-14.408
-5,-4,1,14.761
-5,-4,1.5,-9.792
-5,-4,2,6.811
-5,-4,2.5,-7.606
-5,-4,3,1.868
-5,-4,3.5,-6.059
-5,-4,4,-2.358
-5,-4,4.5,-4.474
-5,-4,5,79.915
-5,-3.5,-5,21.337
-5,-3.5,-4.5,-20.259
-5,-3.5,-4,21.845
-5,-3.5,-3.5,-19.805
-5,-3.5,-3,27.113
-5,-3.5,-2.5,-26.85
-5,-3.5,-2,46.255
-5,-3.5,-1.5,-90.069
-5,-3.5,-1,60.818
-5,-3.5,-0.5,19.348
-5,-3.5,0,-33.455
-5,-3.5,0.5,13.063
-5,-3.5,1,-13.383
-5,-3.5,1.5,8.878
-5,-3.5,2,-6.175
-5,-3.5,2.5,6.896
-5,-3.5,3,-1.693
-5,-3.5,3.5,5.493
-5,-3.5,4,2.138
-5,-3.5,4.5,4.056
-5,-3.5,5,-72.454
-5,-3,-5,-29.21
-5,-3,-4.5,27.734
-5,-3,-4,-29.905
-5,-3,-3.5,27.113
-5,-3,-3,-37.117
-5,-3,-2.5,36.757
-5,-3,-2,-63.323
-5,-3,-1.5,123.303
-5,-3,-1,-83.259
-5,-3,-0.5,-26.487
-5,-3,0,45.8
-5,-3,0.5,-17.883
-5,-3,1,18.321
-5,-3,1.5,-12.154
-5,-3,2,8.454
-5,-3,2.5,-9.441
-5,-3,3,2.318
-5,-3,3.5,-7.52
-5,-3,4,-2.927
-5,-3,4.5,-5.553
-5,-3,5,99.188
-5,-2.5,-5,28.927
-5,-2.5,-4.5,-27.465
-5,-2.5,-4,29.615
-5,-2.5,-3.5,-26.85
-5,-2.5,-3,36.757
-5,-2.5,-2.5,-36.401
-5,-2.5,-2,62.709
-5,-2.5,-1.5,-122.108
-5,-2.5,-1,82.452
-5,-2.5,-0.5,26.23
-5,-2.5,0,-45.356
-5,-2.5,0.5,17.71
-5,-2.5,1,-18.143
-5,-2.5,1.5,12.036
-5,-2.5,2,-8.372
-5,-2.5,2.5,9.349
-5,-2.5,3,-2.296
-5,-2.5,3.5,7.447
-5,-2.5,4,2.898
-5,-2.5,4.5,5.499
-5,-2.5,5,-98.227
-5,-2,-5,-49.834
-5,-2,-4.5,47.315
-5,-2,-4,-51.019
-5,-2,-3.5,46.255
-5,-2,-3,-63.323
-5,-2,-2.5,62.709
-5,-2,-2,-108.03
-5,-2,-1.5,210.358
-5,-2,-1,-142.042
-5,-2,-0.5,-45.188
-5,-2,0,78.136
-5,-2,0.5,-30.509
-5,-2,1,31.256
-5,-2,1.5,-20.734
-5,-2,2,14.423
-5,-2,2.5,-16.106
-5,-2,3,3.955
-5,-2,3.5,-12.83
-5,-2,4,-4.993
-5,-2,4.5,-9.473
-5,-2,5,169.218
-5,-1.5,-5,97.037
-5,-1.5,-4.5,-92.132
-5,-1.5,-4,99.344
-5,-1.5,-3.5,-90.069
-5,-1.5,-3,123.303
-5,-1.5,-2.5,-122.108
-5,-1.5,-2,210.358
-5,-1.5,-1.5,-409.613
-5,-1.5,-1,276.587
-5,-1.5,-0.5,87.99
-5,-1.5,0,-152.148
-5,-1.5,0.5,59.408
-5,-1.5,1,-60.861
-5,-1.5,1.5,40.374
-5,-1.5,2,-28.084
-5,-1.5,2.5,31.363
-5,-1.5,3,-7.701
-5,-1.5,3.5,24.983
-5,-1.5,4,9.722
-5,-1.5,4.5,18.446
-5,-1.5,5,-329.503
-5,-1,-5,-65.523
-5,-1,-4.5,62.211
-5,-1,-4,-67.081
-5,-1,-3.5,60.818
-5,-1,-3,-83.259
-5,-1,-2.5,82.452
-5,-1,-2,-142.042
-5,-1,-1.5,276.587
-5,-1,-1,-186.762
-5,-1,-0.5,-59.415
-5,-1,0,102.736
-5,-1,0.5,-40.115
-5,-1,1,41.096
-5,-1,1.5,-27.262
-5,-1,2,18.964
-5,-1,2.5,-21.177
-5,-1,3,5.2
-5,-1,3.5,-16.869
-5,-1,4,-6.565
-5,-1,4.5,-12.455
-5,-1,5,222.494
-5,-0.5,-5,-20.845
-5,-0.5,-4.5,19.791
-5,-0.5,-4,-21.34
-5,-0.5,-3.5,19.348
-5,-0.5,-3,-26.487
-5,-0.5,-2.5,26.23
-5,-0.5,-2,-45.188
-5,-0.5,-1.5,87.99
-5,-0.5,-1,-59.415
-5,-0.5,-0.5,-18.901
-5,-0.5,0,32.683
-5,-0.5,0.5,-12.762
-5,-0.5,1,13.074
-5,-0.5,1.5,-8.673
-5,-0.5,2,6.033
-5,-0.5,2.5,-6.737
-5,-0.5,3,1.654
-5,-0.5,3.5,-5.367
-5,-0.5,4,-2.089
-5,-0.5,4.5,-3.962
-5,-0.5,5,70.782
-5,0,-5,36.044
-5,0,-4.5,-34.222
-5,0,-4,36.901
-5,0,-3.5,-33.455
-5,0,-3,45.8
-5,0,-2.5,-45.356
-5,0,-2,78.136
-5,0,-1.5,-152.148
-5,0,-1,102.736
-5,0,-0.5,32.683
-5,0,0,-56.514
-5,0,0.5,22.067
-5,0,1,-22.607
-5,0,1.5,14.997
-5,0,2,-10.432
-5,0,2.5,11.649
-5,0,3,-2.861
-5,0,3.5,9.28
-5,0,4,3.611
-5,0,4.5,6.851
-5,0,5,-122.392
-5,0.5,-5,-14.074
-5,0.5,-4.5,13.362
-5,0.5,-4,-14.408
-5,0.5,-3.5,13.063
-5,0.5,-3,-17.883
-5,0.5,-2.5,17.71
-5,0.5,-2,-30.509
-5,0.5,-1.5,59.408
-5,0.5,-1,-40.115
-5,0.5,-0.5,-12.762
-5,0.5,0,22.067
-5,0.5,0.5,-8.616
-5,0.5,1,8.827
-5,0.5,1.5,-5.856
-5,0.5,2,4.073
-5,0.5,2.5,-4.549
-5,0.5,3,1.117
-5,0.5,3.5,-3.623
-5,0.5,4,-1.41
-5,0.5,4.5,-2.675
-5,0.5,5,47.79
-5,1,-5,14.418
-5,1,-4.5,-13.689
-5,1,-4,14.761
-5,1,-3.5,-13.383
-5,1,-3,18.321
-5,1,-2.5,-18.143
-5,1,-2,31.256
-5,1,-1.5,-60.861
-5,1,-1,41.096
-5,1,-0.5,13.074
-5,1,0,-22.607
-5,1,0.5,8.827
-5,1,1,-9.043
-5,1,1.5,5.999
-5,1,2,-4.173
-5,1,2.5,4.66
-5,1,3,-1.144
-5,1,3.5,3.712
-5,1,4,1.445
-5,1,4.5,2.741
-5,1,5,-48.958
-5,1.5,-5,-9.565
