x0,x1,x2,fitness
0.5,0.5,0.5,-0.604
0.5,0.5,1,-0.403
0.5,0.5,1.5,-0.666
0.5,0.5,2,-0.201
0.5,0.5,2.5,-0.316
0.5,0.5,3,-0.736
0.5,0.5,3.5,-0.415
0.5,0.5,4,-0.082
0.5,0.5,4.5,-0.196
0.5,0.5,5,-0.528
0.5,0.5,5.5,-0.727
0.5,0.5,6,-0.67
0.5,0.5,6.5,-0.446
0.5,0.5,7,-0.212
0.5,0.5,7.5,-0.081
0.5,0.5,8,-0.092
0.5,0.5,8.5,-0.217
0.5,0.5,9,-0.396
0.5,0.5,9.5,-0.569
0.5,0.5,10,-0.689
0.5,0.5,10.5,-0.735
0.5,1,0.5,-0.403
0.5,1,1,-0.201
0.5,1,1.5,-0.465
0.5,1,2,0
0.5,1,2.5,-0.115
0.5,1,3,-0.535
0.5,1,3.5,-0.214
0.5,1,4,0.12
0.5,1,4.5,0.005
0.5,1,5,-0.327
0.5,1,5.5,-0.526
0.5,1,6,-0.469
0.5,1,6.5,-0.245
0.5,1,7,-0.01
0.5,1,7.5,0.12
0.5,1,8,0.109
0.5,1,8.5,-0.016
0.5,1,9,-0.195
0.5,1,9.5,-0.367
0.5,1,10,-0.488
0.5,1,10.5,-0.534
0.5,1.5,0.5,-0.666
0.5,1.5,1,-0.465
0.5,1.5,1.5,-0.729
0.5,1.5,2,-0.264
0.5,1.5,2.5,-0.379
0.5,1.5,3,-0.798
0.5,1.5,3.5,-0.478
0.5,1.5,4,-0.144
0.5,1.5,4.5,-0.259
0.5,1.5,5,-0.591
0.5,1.5,5.5,-0.79
0.5,1.5,6,-0.733
0.5,1.5,6.5,-0.509
0.5,1.5,7,-0.274
0.5,1.5,7.5,-0.144
0.5,1.5,8,-0.155
0.5,1.5,8.5,-0.279
0.5,1.5,9,-0.459
0.5,1.5,9.5,-0.631
0.5,1.5,10,-0.752
0.5,1.5,10.5,-0.798
0.5,2,0.5,-0.201
0.5,2,1,0
0.5,2,1.5,-0.264
0.5,2,2,0.201
0.5,2,2.5,0.086
0.5,2,3,-0.333
0.5,2,3.5,-0.013
0.5,2,4,0.321
0.5,2,4.5,0.206
0.5,2,5,-0.126
0.5,2,5.5,-0.324
0.5,2,6,-0.268
0.5,2,6.5,-0.044
0.5,2,7,0.191
0.5,2,7.5,0.321
0.5,2,8,0.31
0.5,2,8.5,0.186
0.5,2,9,0.006
0.5,2,9.5,-0.166
0.5,2,10,-0.287
0.5,2,10.5,-0.333
0.5,2.5,0.5,-0.316
0.5,2.5,1,-0.115
0.5,2.5,1.5,-0.379
0.5,2.5,2,0.086
0.5,2.5,2.5,-0.029
0.5,2.5,3,-0.448
0.5,2.5,3.5,-0.128
0.5,2.5,4,0.206
0.5,2.5,4.5,0.091
0.5,2.5,5,-0.241
0.5,2.5,5.5,-0.439
0.5,2.5,6,-0.383
0.5,2.5,6.5,-0.159
0.5,2.5,7,0.076
0.5,2.5,7.5,0.206
0.5,2.5,8,0.195
0.5,2.5,8.5,0.071
0.5,2.5,9,-0.109
0.5,2.5,9.5,-0.281
0.5,2.5,10,-0.402
0.5,2.5,10.5,-0.448
0.5,3,0.5,-0.736
0.5,3,1,-0.535
0.5,3,1.5,-0.798
0.5,3,2,-0.333
0.5,3,2.5,-0.448
0.5,3,3,-0.868
0.5,3,3.5,-0.548
0.5,3,4,-0.214
0.5,3,4.5,-0.328
0.5,3,5,-0.66
0.5,3,5.5,-0.859
0.5,3,6,-0.802
0.5,3,6.5,-0.578
0.5,3,7,-0.344
0.5,3,7.5,-0.213
0.5,3,8,-0.224
0.5,3,8.5,-0.349
0.5,3,9,-0.528
0.5,3,9.5,-0.701
0.5,3,10,-0.821
0.5,3,10.5,-0.868
0.5,3.5,0.5,-0.415
0.5,3.5,1,-0.214
0.5,3.5,1.5,-0.478
0.5,3.5,2,-0.013
0.5,3.5,2.5,-0.128
0.5,3.5,3,-0.548
0.5,3.5,3.5,-0.227
0.5,3.5,4,0.107
0.5,3.5,4.5,-0.008
0.5,3.5,5,-0.34
0.5,3.5,5.5,-0.539
0.5,3.5,6,-0.482
0.5,3.5,6.5,-0.258
0.5,3.5,7,-0.023
0.5,3.5,7.5,0.107
0.5,3.5,8,0.096
0.5,3.5,8.5,-0.029
0.5,3.5,9,-0.208
0.5,3.5,9.5,-0.38
0.5,3.5,10,-0.501
0.5,3.5,10.5,-0.547
0.5,4,0.5,-0.082
0.5,4,1,0.12
0.5,4,1.5,-0.144
0.5,4,2,0.321
0.5,4,2.5,0.206
0.5,4,3,-0.214
0.5,4,3.5,0.107
0.5,4,4,0.44
0.5,4,4.5,0.326
0.5,4,5,-0.006
0.5,4,5.5,-0.205
0.5,4,6,-0.148
0.5,4,6.5,0.076
0.5,4,7,0.31
0.5,4,7.5,0.441
0.5,4,8,0.43
0.5,4,8.5,0.305
0.5,4,9,0.126
0.5,4,9.5,-0.047
0.5,4,10,-0.167
0.5,4,10.5,-0.213
0.5,4.5,0.5,-0.196
0.5,4.5,1,0.005
0.5,4.5,1.5,-0.259
0.5,4.5,2,0.206
0.5,4.5,2.5,0.091
0.5,4.5,3,-0.328
0.5,4.5,3.5,-0.008
0.5,4.5,4,0.326
0.5,4.5,4.5,0.211
0.5,4.5,5,-0.121
0.5,4.5,5.5,-0.319
0.5,4.5,6,-0.263
0.5,4.5,6.5,-0.039
0.5,4.5,7,0.196
0.5,4.5,7.5,0.326
0.5,4.5,8,0.315
0.5,4.5,8.5,0.191
