"x0","x1","x2","fitness","file"
-5,-5,-5,-732.344,"CF2"
-5,-5,-4.5,-791.953,"CF2"
-5,-5,-4,-911.308,"CF2"
-5,-5,-3.5,-1041.738,"CF2"
-5,-5,-3,-1226.939,"CF2"
-5,-5,-2.5,-1315.926,"CF2"
-5,-5,-2,-1655.393,"CF2"
-5,-5,-1.5,-1446.215,"CF2"
-5,-5,-1,-1694.737,"CF2"
-5,-5,-0.5,-1325.784,"CF2"
-5,-5,0,-1562.222,"CF2"
-5,-5,0.5,-1202.694,"CF2"
-5,-5,1,-1464.81,"CF2"
-5,-5,1.5,-1131.052,"CF2"
-5,-5,2,-1419.949,"CF2"
-5,-5,2.5,-1112.638,"CF2"
-5,-5,3,-1428.19,"CF2"
-5,-5,3.5,-1147.477,"CF2"
-5,-5,4,-1489.713,"CF2"
-5,-5,4.5,-1235.657,"CF2"
-5,-5,5,-1604.571,"CF2"
-5,-4.5,-5,-713.077,"CF2"
-5,-4.5,-4.5,-772.327,"CF2"
-5,-4.5,-4,-890.804,"CF2"
-5,-4.5,-3.5,-1013.905,"CF2"
-5,-4.5,-3,-1181.866,"CF2"
-5,-4.5,-2.5,-1211.443,"CF2"
-5,-4.5,-2,-1483.604,"CF2"
-5,-4.5,-1.5,-1219.446,"CF2"
-5,-4.5,-1,-1447.553,"CF2"
-5,-4.5,-0.5,-1071.64,"CF2"
-5,-4.5,0,-1305.983,"CF2"
-5,-4.5,0.5,-946.025,"CF2"
-5,-4.5,1,-1207.832,"CF2"
-5,-4.5,1.5,-874.218,"CF2"
-5,-4.5,2,-1162.97,"CF2"
-5,-4.5,2.5,-855.725,"CF2"
-5,-4.5,3,-1171.166,"CF2"
-5,-4.5,3.5,-890.477,"CF2"
-5,-4.5,4,-1232.646,"CF2"
-5,-4.5,4.5,-978.623,"CF2"
-5,-4.5,5,-1347.498,"CF2"
-5,-4,-5,-565.704,"CF2"
-5,-4,-4.5,-627.474,"CF2"
-5,-4,-4,-754.296,"CF2"
-5,-4,-3.5,-897.979,"CF2"
-5,-4,-3,-1123.965,"CF2"
-5,-4,-2.5,-1238.948,"CF2"
-5,-4,-2,-1603.535,"CF2"
-5,-4,-1.5,-1383.64,"CF2"
-5,-4,-1,-1630.262,"CF2"
-5,-4,-0.5,-1261.332,"CF2"
-5,-4,0,-1497.591,"CF2"
-5,-4,0.5,-1139.033,"CF2"
-5,-4,1,-1400.96,"CF2"
-5,-4,1.5,-1068.085,"CF2"
-5,-4,2,-1356.723,"CF2"
-5,-4,2.5,-1049.771,"CF2"
-5,-4,3,-1365.056,"CF2"
-5,-4,3.5,-1084.492,"CF2"
-5,-4,4,-1426.564,"CF2"
-5,-4,4.5,-1172.649,"CF2"
-5,-4,5,-1541.471,"CF2"
-5,-3.5,-5,-737.031,"CF2"
-5,-3.5,-4.5,-797.738,"CF2"
-5,-3.5,-4,-920.878,"CF2"
-5,-3.5,-3.5,-1046.836,"CF2"
-5,-3.5,-3,-1227.441,"CF2"
-5,-3.5,-2.5,-1233.041,"CF2"
-5,-3.5,-2,-1484.456,"CF2"
-5,-3.5,-1.5,-1195.508,"CF2"
-5,-3.5,-1,-1413.536,"CF2"
-5,-3.5,-0.5,-1036.972,"CF2"
-5,-3.5,0,-1268.895,"CF2"
-5,-3.5,0.5,-910.353,"CF2"
-5,-3.5,1,-1171.084,"CF2"
-5,-3.5,1.5,-839.118,"CF2"
-5,-3.5,2,-1127,"CF2"
-5,-3.5,2.5,-820.374,"CF2"
-5,-3.5,3,-1135.061,"CF2"
-5,-3.5,3.5,-854.613,"CF2"
-5,-3.5,4,-1196.315,"CF2"
-5,-3.5,4.5,-942.569,"CF2"
-5,-3.5,5,-1311.163,"CF2"
-5,-3,-5,-751.77,"CF2"
-5,-3,-4.5,-815.337,"CF2"
-5,-3,-4,-946.478,"CF2"
-5,-3,-3.5,-1088.612,"CF2"
-5,-3,-3,-1309.278,"CF2"
-5,-3,-2.5,-1361.114,"CF2"
-5,-3,-2,-1653.385,"CF2"
-5,-3,-1.5,-1393.568,"CF2"
-5,-3,-1,-1617.989,"CF2"
-5,-3,-0.5,-1250.314,"CF2"
-5,-3,0,-1481.734,"CF2"
-5,-3,0.5,-1127.496,"CF2"
-5,-3,1,-1387.728,"CF2"
-5,-3,1.5,-1059.321,"CF2"
-5,-3,2,-1346.469,"CF2"
-5,-3,2.5,-1041.338,"CF2"
-5,-3,3,-1355.164,"CF2"
-5,-3,3.5,-1075.363,"CF2"
-5,-3,4,-1416.54,"CF2"
-5,-3,4.5,-1163.351,"CF2"
-5,-3,5,-1531.662,"CF2"
-5,-2.5,-5,-885.742,"CF2"
-5,-2.5,-4.5,-948.897,"CF2"
-5,-2.5,-4,-1075.576,"CF2"
-5,-2.5,-3.5,-1195.428,"CF2"
-5,-2.5,-3,-1358.707,"CF2"
-5,-2.5,-2.5,-1308.989,"CF2"
-5,-2.5,-2,-1503.283,"CF2"
-5,-2.5,-1.5,-1217.813,"CF2"
-5,-2.5,-1,-1416.289,"CF2"
-5,-2.5,-0.5,-1052.054,"CF2"
-5,-2.5,0,-1274.594,"CF2"
-5,-2.5,0.5,-925.645,"CF2"
-5,-2.5,1,-1182.071,"CF2"
-5,-2.5,1.5,-859.779,"CF2"
-5,-2.5,2,-1143.918,"CF2"
-5,-2.5,2.5,-841.21,"CF2"
-5,-2.5,3,-1152.321,"CF2"
-5,-2.5,3.5,-873.491,"CF2"
-5,-2.5,4,-1212.986,"CF2"
-5,-2.5,4.5,-960.887,"CF2"
-5,-2.5,5,-1328.167,"CF2"
-5,-2,-5,-922.112,"CF2"
-5,-2,-4.5,-988.871,"CF2"
-5,-2,-4,-1120.351,"CF2"
-5,-2,-3.5,-1244.352,"CF2"
-5,-2,-3,-1410.498,"CF2"
-5,-2,-2.5,-1383.579,"CF2"
-5,-2,-2,-1585.092,"CF2"
-5,-2,-1.5,-1369.467,"CF2"
-5,-2,-1,-1572.636,"CF2"
-5,-2,-0.5,-1244.153,"CF2"
-5,-2,0,-1465.752,"CF2"
-5,-2,0.5,-1140.033,"CF2"
-5,-2,1,-1397.246,"CF2"
-5,-2,1.5,-1095.189,"CF2"
-5,-2,2,-1377.936,"CF2"
-5,-2,2.5,-1084.648,"CF2"
-5,-2,3,-1392.615,"CF2"
-5,-2,3.5,-1118.288,"CF2"
-5,-2,4,-1455.569,"CF2"
-5,-2,4.5,-1207.328,"CF2"
-5,-2,5,-1573.014,"CF2"
-5,-1.5,-5,-917.678,"CF2"
-5,-1.5,-4.5,-985.635,"CF2"
-5,-1.5,-4,-1105.904,"CF2"
-5,-1.5,-3.5,-1196.602,"CF2"
-5,-1.5,-3,-1287.5,"CF2"
-5,-1.5,-2.5,-1213.661,"CF2"
-5,-1.5,-2,-1343.389,"CF2"
-5,-1.5,-1.5,-1177.43,"CF2"
-5,-1.5,-1,-1346.889,"CF2"
-5,-1.5,-0.5,-1050.173,"CF2"
