x0,x1,x2,fitness-5,fitness-4.5,fitness-4,fitness-3.5,fitness-3,fitness-2.5,fitness-2,fitness-1.5,fitness-1,fitness-0.5,fitness0,fitness0.5,fitness1,fitness1.5,fitness2,fitness2.5,fitness3,fitness3.5,fitness4,fitness4.5,fitness5
-5,-5,-5,-1752.267,-1530.633,-1445.513,-1350.933,-1364.148,-1365.584,-1246.729,-1182.462,-976.086,-1197.759,-1283.209,-1378.036,-1366.03,-1366.36,-1484.503,-1548.35,-1745.59,-1539.623,-1469.464,-1399.479,-1430.191
-5,-5,-4.5,-1856.116,-1634.538,-1549.459,-1454.951,-1468.198,-1469.683,-1351.12,-1287.227,-1082.024,-1303.311,-1388.724,-1483.085,-1471.702,-1472.816,-1587.442,-1647.282,-1827.706,-1635.612,-1574.057,-1517.827,-1547.711
-5,-5,-4,-1869.957,-1648.492,-1563.502,-1469.173,-1482.518,-1484.159,-1366.36,-1303.462,-1101.221,-1321.747,-1407.331,-1500.947,-1491.559,-1495.129,-1603.158,-1656.543,-1807.582,-1645.772,-1601.802,-1567.57,-1596.747
-5,-5,-3.5,-2112.401,-1891.025,-1805.979,-1711.665,-1724.62,-1725.712,-1608.393,-1545.875,-1347.763,-1562.235,-1642.239,-1725.886,-1709.69,-1703.505,-1780.766,-1802.713,-1888.294,-1749.5,-1703.663,-1668.838,-1676.085
-5,-5,-3,-2033.872,-1812.983,-1728.259,-1634.705,-1647.801,-1649.182,-1535.336,-1477.02,-1292.947,-1500.15,-1577.133,-1652.924,-1640.411,-1637.836,-1694.031,-1706.058,-1754.926,-1675.022,-1655.672,-1642.676,-1652.923
-5,-5,-2.5,-2025.975,-1806.147,-1722.018,-1630.004,-1643.004,-1644.451,-1537.56,-1486.903,-1329.404,-1517.766,-1584.89,-1643.735,-1633.087,-1630.81,-1661.948,-1665.277,-1688.069,-1649.632,-1643.917,-1640.256,-1649.252
-5,-5,-2,-2098.066,-1879.781,-1795.608,-1705.087,-1714.945,-1712.638,-1614.709,-1571.074,-1448.756,-1593.019,-1634.881,-1664.745,-1649.845,-1642.293,-1651.661,-1648.338,-1655.941,-1638.721,-1637.831,-1636.96,-1643.575
-5,-5,-1.5,-2218.58,-2001.045,-1912.902,-1820.422,-1817.426,-1800.806,-1709.602,-1665.972,-1575.969,-1657.082,-1669.027,-1673.973,-1657.302,-1647.645,-1646.591,-1641.645,-1643.276,-1636.326,-1637.445,-1637.74,-1642.859
-5,-5,-1,-2271.779,-2055.174,-1958.599,-1862.484,-1839.644,-1806.477,-1728.961,-1689.657,-1631.061,-1665.649,-1664.22,-1661.28,-1649.664,-1643.158,-1640.389,-1636.885,-1637.142,-1634.984,-1636.767,-1637.317,-1641.116
-5,-5,-0.5,-2090.315,-1899.125,-1816.021,-1743.655,-1726.683,-1706.196,-1665.779,-1648.916,-1624.261,-1642.432,-1643.145,-1643.223,-1638.945,-1637.109,-1635.891,-1634.384,-1634.691,-1634.497,-1636.093,-1636.246,-1638.621
-5,-5,0,-1949.513,-1801.552,-1739.156,-1691.746,-1679.479,-1667.295,-1647.908,-1640.704,-1630.613,-1638.914,-1639.598,-1640.332,-1638.82,-1638.542,-1637.696,-1636.637,-1636.402,-1636.217,-1636.783,-1635.919,-1636.635
-5,-5,0.5,-1748.37,-1672.042,-1647.916,-1632.532,-1633.47,-1633.281,-1629.477,-1630.275,-1629.23,-1635.18,-1637.453,-1639.621,-1640.158,-1641.048,-1640.733,-1639.96,-1639.321,-1638.674,-1638.16,-1636.251,-1635.453
-5,-5,1,-1701.177,-1657.794,-1642.573,-1633.184,-1632.373,-1631.981,-1631.112,-1632.735,-1633.9,-1637.976,-1640.488,-1643.032,-1644.373,-1645.677,-1645.582,-1644.84,-1643.817,-1642.599,-1641.159,-1638.398,-1636.421
-5,-5,1.5,-1663.137,-1641.125,-1632.83,-1628,-1627.754,-1628.359,-1629.572,-1632.251,-1634.96,-1638.839,-1641.951,-1645.008,-1646.984,-1648.609,-1648.729,-1648.004,-1646.687,-1644.953,-1642.753,-1639.303,-1636.379
