"x0","x1","x2","fitness.5","fitness.4.5","fitness.4","fitness.3.5","fitness.3","fitness.2.5","fitness.2","fitness.1.5","fitness.1","fitness.0.5","fitness0","fitness0.5","fitness1","fitness1.5","fitness2","fitness2.5","fitness3","fitness3.5","fitness4","fitness4.5","fitness5","file"
-5,-5,-5,-902.459,-807.001,-782.397,-803.284,-807.907,-778.532,-687.344,-668.641,-560.711,-689.35,-702.094,-803.213,-829.218,-822.507,-822.283,-880.772,-976.277,-1054.419,-1166.884,-1175.463,-1196.725,"CF2"
-5,-5,-4.5,-943.361,-848.114,-823.583,-844.862,-849.519,-820.984,-729.985,-713.036,-605.602,-737.221,-749.809,-856.908,-881.536,-889.092,-886.594,-971.27,-1054.071,-1178.177,-1258.708,-1357.031,-1338.921,"CF2"
-5,-5,-4,-1017.545,-922.948,-898.65,-921.035,-926.009,-899.798,-809.715,-797.663,-692.315,-832.438,-846.394,-970.191,-994.889,-1039.339,-1036.972,-1182.69,-1246.055,-1459.059,-1489.635,-1717.387,-1641.528,"CF2"
-5,-5,-3.5,-1092.031,-998.564,-974.282,-998.562,-1003.104,-980.859,-890.448,-886.538,-780.753,-933.117,-938.859,-1084.247,-1086.354,-1176.003,-1131.842,-1332.117,-1300.329,-1566.414,-1463.937,-1755.78,-1565.492,"CF2"
-5,-5,-3,-1129.46,-1039.219,-1015.694,-1045.681,-1050.745,-1040.331,-952.318,-971.99,-871.098,-1058.621,-1056.595,-1258.012,-1231.789,-1414.313,-1321.299,-1609.295,-1484.538,-1821.1,-1626.362,-1983.836,-1736.351,"CF2"
-5,-5,-2.5,-1129.692,-1045.463,-1020.983,-1060.664,-1061.104,-1069.812,-974.942,-1029.058,-913.494,-1136.91,-1077.16,-1318.681,-1192.044,-1430.041,-1222.308,-1537.507,-1294.87,-1648.248,-1373.757,-1752.299,-1464.383,"CF2"
-5,-5,-2,-1161.173,-1094.227,-1071.616,-1139.317,-1136.577,-1196.306,-1098.256,-1231.167,-1101.445,-1393.565,-1266.259,-1571.145,-1358.447,-1663.711,-1386.658,-1737.251,-1440.45,-1816.422,-1512.007,-1908.623,-1607.329,"CF2"
-5,-5,-1.5,-1152.981,-1115.649,-1082.1,-1188.686,-1150.38,-1267.364,-1114.412,-1307.643,-1092.263,-1396.54,-1144.875,-1455.586,-1145.1,-1467.143,-1131.939,-1488.702,-1156.889,-1538.304,-1216.555,-1619.354,-1310.706,"CF2"
-5,-5,-1,-1386.332,-1412.844,-1358.062,-1533.888,-1433.926,-1629.823,-1401.911,-1655.619,-1358.386,-1674.782,-1344.647,-1668.256,-1312.97,-1651.447,-1294.301,-1658.692,-1314.357,-1700.698,-1372.624,-1779.343,-1467.827,"CF2"
-5,-5,-0.5,-1459.457,-1553.882,-1410.628,-1623.22,-1391.09,-1615.398,-1277.759,-1542.809,-1166.961,-1474.347,-1092.307,-1416.335,-1036.059,-1379.713,-1011.246,-1378.226,-1027.767,-1416.143,-1084.932,-1493.59,-1180.701,"CF2"
-5,-5,0,-1762.282,-1943.947,-1699.884,-1951.415,-1618.955,-1875.807,-1481.495,-1764.656,-1357.812,-1668.962,-1269.087,-1598.001,-1209.973,-1558.265,-1186.419,-1555.747,-1203.199,-1593.07,-1260.497,-1670.332,-1356.677,"CF2"
-5,-5,0.5,-1737.416,-1944.49,-1576.954,-1824.878,-1411.156,-1672.463,-1240.719,-1526.622,-1101.833,-1412.216,-1002.932,-1332.981,-940.864,-1290.82,-917.195,-1287.568,-933.945,-1324.65,-991.343,-1401.985,-1087.974,"CF2"
-5,-5,1,-1987.683,-2222.858,-1796.648,-2053.468,-1609.441,-1880.143,-1436.897,-1727.95,-1298.1,-1610.137,-1198.11,-1529.597,-1136.247,-1487.401,-1113.183,-1484.298,-1130.166,-1521.402,-1187.586,-1598.702,-1284.345,"CF2"
-5,-5,1.5,-1817.727,-2049.508,-1581.748,-1834.943,-1371.722,-1642.8,-1192.18,-1483.676,-1050.583,-1362.615,-948.888,-1280.757,-886.615,-1238.29,-863.723,-1235.305,-880.911,-1272.584,-938.512,-1350.097,-1035.633,"CF2"
