"x0","x1","x2","fitness.5","fitness.4.5","fitness.4","fitness.3.5","fitness.3","fitness.2.5","fitness.2","fitness.1.5","fitness.1","fitness.0.5","fitness0","fitness0.5","fitness1","fitness1.5","fitness2","fitness2.5","fitness3","fitness3.5","fitness4","fitness4.5","fitness5","file"
-5,-5,-5,-65.363,62.06,-66.918,60.67,-83.056,82.251,-141.695,275.912,-186.307,-59.27,102.486,-40.017,40.996,-27.196,18.917,-21.126,5.187,-16.828,-6.549,-12.425,221.951,"shubert"
-5,-5,-4.5,62.06,-58.923,63.535,-57.603,78.858,-78.094,134.534,-261.967,176.89,56.274,-97.306,37.994,-38.924,25.821,-17.961,20.058,-4.925,15.977,6.218,11.797,-210.733,"shubert"
-5,-5,-4,-66.918,63.535,-68.509,62.112,-85.031,84.207,-145.065,282.473,-190.737,-60.679,104.923,-40.968,41.971,-27.843,19.367,-21.628,5.311,-17.228,-6.705,-12.72,227.229,"shubert"
-5,-5,-3.5,60.67,-57.603,62.112,-56.313,77.092,-76.345,131.52,-256.099,172.928,55.013,-95.126,37.143,-38.052,25.243,-17.559,19.609,-4.815,15.62,6.079,11.533,-206.013,"shubert"
-5,-5,-3,-83.056,78.858,-85.031,77.092,-105.537,104.515,-180.049,350.596,-236.736,-75.313,130.226,-50.849,52.092,-34.557,24.038,-26.844,6.592,-21.383,-8.322,-15.788,282.028,"shubert"
-5,-5,-2.5,82.251,-78.094,84.207,-76.345,104.515,-103.502,178.305,-347.198,234.442,74.583,-128.965,50.356,-51.588,34.222,-23.805,26.584,-6.528,21.176,8.241,15.635,-279.295,"shubert"
-5,-5,-2,-141.695,134.534,-145.065,131.52,-180.049,178.305,-307.169,598.126,-403.878,-128.485,222.17,-86.749,88.871,-58.955,41.01,-45.797,11.245,-36.48,-14.197,-26.935,481.148,"shubert"
-5,-5,-1.5,275.912,-261.967,282.473,-256.099,350.596,-347.198,598.126,-1164.681,786.439,250.189,-432.613,168.92,-173.051,114.799,-79.854,89.176,-21.897,71.035,27.644,52.448,-936.9,"shubert"
-5,-5,-1,-186.307,176.89,-190.737,172.928,-236.736,234.442,-403.878,786.439,-531.035,-168.938,292.118,-114.061,116.851,-77.517,53.921,-60.215,14.786,-47.965,-18.667,-35.415,632.632,"shubert"
-5,-5,-0.5,-59.27,56.274,-60.679,55.013,-75.313,74.583,-128.485,250.189,-168.938,-53.744,92.931,-36.286,37.174,-24.66,17.154,-19.156,4.704,-15.259,-5.938,-11.266,201.259,"shubert"
-5,-5,0,102.486,-97.306,104.923,-95.126,130.226,-128.965,222.17,-432.613,292.118,92.931,-160.691,62.744,-64.279,42.641,-29.661,33.124,-8.134,26.385,10.268,19.481,-348.005,"shubert"
-5,-5,0.5,-40.017,37.994,-40.968,37.143,-50.849,50.356,-86.749,168.92,-114.061,-36.286,62.744,-24.499,25.098,-16.65,11.582,-12.934,3.176,-10.302,-4.009,-7.607,135.883,"shubert"
-5,-5,1,40.996,-38.924,41.971,-38.052,52.092,-51.588,88.871,-173.051,116.851,37.174,-64.279,25.098,-25.712,17.057,-11.865,13.25,-3.254,10.554,4.107,7.793,-139.207,"shubert"
-5,-5,1.5,-27.196,25.821,-27.843,25.243,-34.557,34.222,-58.955,114.799,-77.517,-24.66,42.641,-16.65,17.057,-11.315,7.871,-8.79,2.158,-7.002,-2.725,-5.17,92.347,"shubert"
-5,-5,2,18.917,-17.961,19.367,-17.559,24.038,-23.805,41.01,-79.854,53.921,17.154,-29.661,11.582,-11.865,7.871,-5.475,6.114,-1.501,4.87,1.895,3.596,-64.237,"shubert"
-5,-5,2.5,-21.126,20.058,-21.628,19.609,-26.844,26.584,-45.797,89.176,-60.215,-19.156,33.124,-12.934,13.25,-8.79,6.114,-6.828,1.677,-5.439,-2.117,-4.016,71.735,"shubert"
-5,-5,3,5.187,-4.925,5.311,-4.815,6.592,-6.528,11.245,-21.897,14.786,4.704,-8.134,3.176,-3.254,2.158,-1.501,1.677,-0.412,1.336,0.52,0.986,-17.615,"shubert"
-5,-5,3.5,-16.828,15.977,-17.228,15.62,-21.383,21.176,-36.48,71.035,-47.965,-15.259,26.385,-10.302,10.554,-7.002,4.87,-5.439,1.336,-4.332,-1.686,-3.199,57.142,"shubert"
-5,-5,4,-6.549,6.218,-6.705,6.079,-8.322,8.241,-14.197,27.644,-18.667,-5.938,10.268,-4.009,4.107,-2.725,1.895,-2.117,0.52,-1.686,-0.656,-1.245,22.238,"shubert"
-5,-5,4.5,-12.425,11.797,-12.72,11.533,-15.788,15.635,-26.935,52.448,-35.415,-11.266,19.481,-7.607,7.793,-5.17,3.596,-4.016,0.986,-3.199,-1.245,-2.362,42.19,"shubert"
-5,-5,5,221.951,-210.733,227.229,-206.013,282.028,-279.295,481.148,-936.9,632.632,201.259,-348.005,135.883,-139.207,92.347,-64.237,71.735,-17.615,57.142,22.238,42.19,-753.667,"shubert"
-5,-4.5,-5,62.06,-58.923,63.535,-57.603,78.858,-78.094,134.534,-261.967,176.89,56.274,-97.306,37.994,-38.924,25.821,-17.961,20.058,-4.925,15.977,6.218,11.797,-210.733,"shubert"
-5,-4.5,-4.5,-58.923,55.945,-60.324,54.692,-74.872,74.147,-127.734,248.726,-167.95,-53.43,92.388,-36.074,36.956,-24.516,17.053,-19.044,4.676,-15.17,-5.904,-11.201,200.082,"shubert"
-5,-4.5,-4,63.535,-60.324,65.046,-58.973,80.733,-79.951,137.733,-268.196,181.097,57.612,-99.62,38.898,-39.849,26.435,-18.388,20.535,-5.042,16.357,6.366,12.077,-215.744,"shubert"
-5,-4.5,-3.5,-57.603,54.692,-58.973,53.467,-73.195,72.486,-124.873,243.155,-164.188,-52.233,90.318,-35.266,36.129,-23.967,16.672,-18.618,4.572,-14.83,-5.771,-10.95,195.6,"shubert"
-5,-4.5,-3,78.858,-74.872,80.733,-73.195,100.203,-99.232,170.949,-332.876,224.771,71.506,-123.644,48.279,-49.459,32.811,-22.823,25.487,-6.258,20.302,7.901,14.99,-267.774,"shubert"
-5,-4.5,-2.5,-78.094,74.147,-79.951,72.486,-99.232,98.271,-169.293,329.65,-222.593,-70.813,122.446,-47.811,48.98,-32.493,22.602,-25.24,6.198,-20.106,-7.824,-14.845,265.179,"shubert"
-5,-4.5,-2,134.534,-127.734,137.733,-124.873,170.949,-169.293,291.644,-567.895,383.465,121.991,-210.941,82.365,-84.379,55.976,-38.937,43.482,-10.677,34.636,13.479,25.573,-456.83,"shubert"
-5,-4.5,-1.5,-261.967,248.726,-268.196,243.155,-332.876,329.65,-567.895,1105.815,-746.69,-237.544,410.748,-160.382,164.305,-108.997,75.818,-84.669,20.79,-67.444,-26.247,-49.797,889.547,"shubert"
-5,-4.5,-1,176.89,-167.95,181.097,-164.188,224.771,-222.593,383.465,-746.69,504.195,160.399,-277.353,108.296,-110.945,73.599,-51.196,57.172,-14.038,45.541,17.723,33.625,-600.657,"shubert"
-5,-4.5,-0.5,56.274,-53.43,57.612,-52.233,71.506,-70.813,121.991,-237.544,160.399,51.028,-88.234,34.452,-35.295,23.414,-16.287,18.188,-4.466,14.488,5.638,10.697,-191.086,"shubert"
-5,-4.5,0,-97.306,92.388,-99.62,90.318,-123.644,122.446,-210.941,410.748,-277.353,-88.234,152.569,-59.573,61.03,-40.486,28.162,-31.45,7.722,-25.052,-9.749,-18.497,330.416,"shubert"
-5,-4.5,0.5,37.994,-36.074,38.898,-35.266,48.279,-47.811,82.365,-160.382,108.296,34.452,-59.573,23.261,-23.83,15.808,-10.996,12.28,-3.015,9.782,3.807,7.222,-129.015,"shubert"
-5,-4.5,1,-38.924,36.956,-39.849,36.129,-49.459,48.98,-84.379,164.305,-110.945,-35.295,61.03,-23.83,24.413,-16.195,11.265,-12.58,3.089,-10.021,-3.9,-7.399,132.171,"shubert"
-5,-4.5,1.5,25.821,-24.516,26.435,-23.967,32.811,-32.493,55.976,-108.997,73.599,23.414,-40.486,15.808,-16.195,10.743,-7.473,8.346,-2.049,6.648,2.587,4.908,-87.68,"shubert"
-5,-4.5,2,-17.961,17.053,-18.388,16.672,-22.823,22.602,-38.937,75.818,-51.196,-16.287,28.162,-10.996,11.265,-7.473,5.198,-5.805,1.425,-4.624,-1.8,-3.414,60.99,"shubert"
-5,-4.5,2.5,20.058,-19.044,20.535,-18.618,25.487,-25.24,43.482,-84.669,57.172,18.188,-31.45,12.28,-12.58,8.346,-5.805,6.483,-1.592,5.164,2.01,3.813,-68.11,"shubert"
-5,-4.5,3,-4.925,4.676,-5.042,4.572,-6.258,6.198,-10.677,20.79,-14.038,-4.466,7.722,-3.015,3.089,-2.049,1.425,-1.592,0.391,-1.268,-0.493,-0.936,16.724,"shubert"
-5,-4.5,3.5,15.977,-15.17,16.357,-14.83,20.302,-20.106,34.636,-67.444,45.541,14.488,-25.052,9.782,-10.021,6.648,-4.624,5.164,-1.268,4.113,1.601,3.037,-54.254,"shubert"
-5,-4.5,4,6.218,-5.904,6.366,-5.771,7.901,-7.824,13.479,-26.247,17.723,5.638,-9.749,3.807,-3.9,2.587,-1.8,2.01,-0.493,1.601,0.623,1.182,-21.114,"shubert"
-5,-4.5,4.5,11.797,-11.201,12.077,-10.95,14.99,-14.845,25.573,-49.797,33.625,10.697,-18.497,7.222,-7.399,4.908,-3.414,3.813,-0.936,3.037,1.182,2.242,-40.058,"shubert"
-5,-4.5,5,-210.733,200.082,-215.744,195.6,-267.774,265.179,-456.83,889.547,-600.657,-191.086,330.416,-129.015,132.171,-87.68,60.99,-68.11,16.724,-54.254,-21.114,-40.058,715.575,"shubert"
-5,-4,-5,-66.918,63.535,-68.509,62.112,-85.031,84.207,-145.065,282.473,-190.737,-60.679,104.923,-40.968,41.971,-27.843,19.367,-21.628,5.311,-17.228,-6.705,-12.72,227.229,"shubert"
