"x0","x1","x2","fitness0.5","fitness1","fitness1.5","fitness2","fitness2.5","fitness3","fitness3.5","fitness4","fitness4.5","fitness5","fitness5.5","fitness6","fitness6.5","fitness7","fitness7.5","fitness8","fitness8.5","fitness9","fitness9.5","fitness10","fitness10.5","file"
0.5,0.5,0.5,-0.604,-0.453,-0.651,-0.302,-0.388,-0.703,-0.463,-0.212,-0.298,-0.547,-0.696,-0.654,-0.486,-0.31,-0.212,-0.22,-0.314,-0.448,-0.577,-0.668,-0.703,"vincent"
0.5,0.5,1,-0.453,-0.302,-0.5,-0.151,-0.237,-0.552,-0.312,-0.061,-0.147,-0.396,-0.545,-0.503,-0.335,-0.159,-0.061,-0.069,-0.163,-0.297,-0.427,-0.517,-0.552,"vincent"
0.5,0.5,1.5,-0.651,-0.5,-0.698,-0.349,-0.435,-0.75,-0.509,-0.259,-0.345,-0.594,-0.743,-0.7,-0.533,-0.357,-0.259,-0.267,-0.361,-0.495,-0.624,-0.715,-0.749,"vincent"
0.5,0.5,2,-0.302,-0.151,-0.349,0,-0.086,-0.401,-0.161,0.09,0.004,-0.245,-0.394,-0.352,-0.184,-0.008,0.09,0.082,-0.012,-0.146,-0.276,-0.366,-0.401,"vincent"
0.5,0.5,2.5,-0.388,-0.237,-0.435,-0.086,-0.172,-0.487,-0.247,0.003,-0.082,-0.331,-0.481,-0.438,-0.27,-0.094,0.004,-0.004,-0.098,-0.232,-0.362,-0.452,-0.487,"vincent"
0.5,0.5,3,-0.703,-0.552,-0.75,-0.401,-0.487,-0.802,-0.562,-0.311,-0.397,-0.646,-0.795,-0.753,-0.585,-0.409,-0.311,-0.319,-0.413,-0.547,-0.677,-0.767,-0.802,"vincent"
0.5,0.5,3.5,-0.463,-0.312,-0.509,-0.161,-0.247,-0.562,-0.321,-0.071,-0.157,-0.406,-0.555,-0.512,-0.344,-0.168,-0.071,-0.079,-0.172,-0.307,-0.436,-0.527,-0.561,"vincent"
0.5,0.5,4,-0.212,-0.061,-0.259,0.09,0.003,-0.311,-0.071,0.179,0.093,-0.155,-0.305,-0.262,-0.094,0.082,0.18,0.171,0.078,-0.057,-0.186,-0.276,-0.311,"vincent"
0.5,0.5,4.5,-0.298,-0.147,-0.345,0.004,-0.082,-0.397,-0.157,0.093,0.007,-0.241,-0.391,-0.348,-0.18,-0.004,0.094,0.085,-0.008,-0.142,-0.272,-0.362,-0.397,"vincent"
0.5,0.5,5,-0.547,-0.396,-0.594,-0.245,-0.331,-0.646,-0.406,-0.155,-0.241,-0.49,-0.639,-0.597,-0.429,-0.253,-0.155,-0.163,-0.257,-0.391,-0.521,-0.611,-0.646,"vincent"
0.5,0.5,5.5,-0.696,-0.545,-0.743,-0.394,-0.481,-0.795,-0.555,-0.305,-0.391,-0.639,-0.789,-0.746,-0.578,-0.402,-0.304,-0.313,-0.406,-0.541,-0.67,-0.76,-0.795,"vincent"
0.5,0.5,6,-0.654,-0.503,-0.7,-0.352,-0.438,-0.753,-0.512,-0.262,-0.348,-0.597,-0.746,-0.703,-0.535,-0.359,-0.262,-0.27,-0.363,-0.498,-0.627,-0.718,-0.752,"vincent"
0.5,0.5,6.5,-0.486,-0.335,-0.533,-0.184,-0.27,-0.585,-0.344,-0.094,-0.18,-0.429,-0.578,-0.535,-0.367,-0.192,-0.094,-0.102,-0.196,-0.33,-0.459,-0.55,-0.584,"vincent"
0.5,0.5,7,-0.31,-0.159,-0.357,-0.008,-0.094,-0.409,-0.168,0.082,-0.004,-0.253,-0.402,-0.359,-0.192,-0.016,0.082,0.074,-0.02,-0.154,-0.283,-0.374,-0.408,"vincent"
0.5,0.5,7.5,-0.212,-0.061,-0.259,0.09,0.004,-0.311,-0.071,0.18,0.094,-0.155,-0.304,-0.262,-0.094,0.082,0.18,0.172,0.078,-0.056,-0.186,-0.276,-0.311,"vincent"
0.5,0.5,8,-0.22,-0.069,-0.267,0.082,-0.004,-0.319,-0.079,0.171,0.085,-0.163,-0.313,-0.27,-0.102,0.074,0.172,0.164,0.07,-0.064,-0.194,-0.284,-0.319,"vincent"
0.5,0.5,8.5,-0.314,-0.163,-0.361,-0.012,-0.098,-0.413,-0.172,0.078,-0.008,-0.257,-0.406,-0.363,-0.196,-0.02,0.078,0.07,-0.024,-0.158,-0.287,-0.378,-0.412,"vincent"
0.5,0.5,9,-0.448,-0.297,-0.495,-0.146,-0.232,-0.547,-0.307,-0.057,-0.142,-0.391,-0.541,-0.498,-0.33,-0.154,-0.056,-0.064,-0.158,-0.292,-0.422,-0.512,-0.547,"vincent"
0.5,0.5,9.5,-0.577,-0.427,-0.624,-0.276,-0.362,-0.677,-0.436,-0.186,-0.272,-0.521,-0.67,-0.627,-0.459,-0.283,-0.186,-0.194,-0.287,-0.422,-0.551,-0.641,-0.676,"vincent"
0.5,0.5,10,-0.668,-0.517,-0.715,-0.366,-0.452,-0.767,-0.527,-0.276,-0.362,-0.611,-0.76,-0.718,-0.55,-0.374,-0.276,-0.284,-0.378,-0.512,-0.641,-0.732,-0.767,"vincent"
0.5,0.5,10.5,-0.703,-0.552,-0.749,-0.401,-0.487,-0.802,-0.561,-0.311,-0.397,-0.646,-0.795,-0.752,-0.584,-0.408,-0.311,-0.319,-0.412,-0.547,-0.676,-0.767,-0.801,"vincent"
0.5,1,0.5,-0.453,-0.302,-0.5,-0.151,-0.237,-0.552,-0.312,-0.061,-0.147,-0.396,-0.545,-0.503,-0.335,-0.159,-0.061,-0.069,-0.163,-0.297,-0.427,-0.517,-0.552,"vincent"
0.5,1,1,-0.302,-0.151,-0.349,0,-0.086,-0.401,-0.161,0.09,0.004,-0.245,-0.394,-0.352,-0.184,-0.008,0.09,0.082,-0.012,-0.146,-0.276,-0.366,-0.401,"vincent"
0.5,1,1.5,-0.5,-0.349,-0.547,-0.198,-0.284,-0.599,-0.358,-0.108,-0.194,-0.443,-0.592,-0.549,-0.382,-0.206,-0.108,-0.116,-0.21,-0.344,-0.473,-0.564,-0.599,"vincent"
0.5,1,2,-0.151,0,-0.198,0.151,0.065,-0.25,-0.01,0.241,0.155,-0.094,-0.243,-0.201,-0.033,0.143,0.241,0.233,0.139,0.005,-0.125,-0.215,-0.25,"vincent"
0.5,1,2.5,-0.237,-0.086,-0.284,0.065,-0.022,-0.336,-0.096,0.154,0.068,-0.18,-0.33,-0.287,-0.119,0.057,0.155,0.146,0.053,-0.082,-0.211,-0.301,-0.336,"vincent"
0.5,1,3,-0.552,-0.401,-0.599,-0.25,-0.336,-0.651,-0.411,-0.16,-0.246,-0.495,-0.644,-0.602,-0.434,-0.258,-0.16,-0.168,-0.262,-0.396,-0.526,-0.616,-0.651,"vincent"
0.5,1,3.5,-0.312,-0.161,-0.358,-0.01,-0.096,-0.411,-0.17,0.08,-0.006,-0.255,-0.404,-0.361,-0.193,-0.018,0.08,0.072,-0.021,-0.156,-0.285,-0.376,-0.41,"vincent"
0.5,1,4,-0.061,0.09,-0.108,0.241,0.154,-0.16,0.08,0.33,0.244,-0.005,-0.154,-0.111,0.057,0.233,0.331,0.322,0.229,0.094,-0.035,-0.125,-0.16,"vincent"
0.5,1,4.5,-0.147,0.004,-0.194,0.155,0.068,-0.246,-0.006,0.244,0.158,-0.09,-0.24,-0.197,-0.029,0.147,0.245,0.236,0.143,0.008,-0.121,-0.211,-0.246,"vincent"
0.5,1,5,-0.396,-0.245,-0.443,-0.094,-0.18,-0.495,-0.255,-0.005,-0.09,-0.339,-0.489,-0.446,-0.278,-0.102,-0.004,-0.012,-0.106,-0.24,-0.37,-0.46,-0.495,"vincent"
0.5,1,5.5,-0.545,-0.394,-0.592,-0.243,-0.33,-0.644,-0.404,-0.154,-0.24,-0.489,-0.638,-0.595,-0.427,-0.251,-0.153,-0.162,-0.255,-0.39,-0.519,-0.609,-0.644,"vincent"
0.5,1,6,-0.503,-0.352,-0.549,-0.201,-0.287,-0.602,-0.361,-0.111,-0.197,-0.446,-0.595,-0.552,-0.384,-0.209,-0.111,-0.119,-0.212,-0.347,-0.476,-0.567,-0.601,"vincent"
0.5,1,6.5,-0.335,-0.184,-0.382,-0.033,-0.119,-0.434,-0.193,0.057,-0.029,-0.278,-0.427,-0.384,-0.217,-0.041,0.057,0.049,-0.045,-0.179,-0.308,-0.399,-0.433,"vincent"
0.5,1,7,-0.159,-0.008,-0.206,0.143,0.057,-0.258,-0.018,0.233,0.147,-0.102,-0.251,-0.209,-0.041,0.135,0.233,0.225,0.131,-0.003,-0.132,-0.223,-0.258,"vincent"
0.5,1,7.5,-0.061,0.09,-0.108,0.241,0.155,-0.16,0.08,0.331,0.245,-0.004,-0.153,-0.111,0.057,0.233,0.331,0.323,0.229,0.095,-0.035,-0.125,-0.16,"vincent"
0.5,1,8,-0.069,0.082,-0.116,0.233,0.146,-0.168,0.072,0.322,0.236,-0.012,-0.162,-0.119,0.049,0.225,0.323,0.314,0.221,0.086,-0.043,-0.133,-0.168,"vincent"
